dataset_id,symbol,timestamp,price
DATASET-001,AAPL,2025-01-02T16:00:00Z,151.20
DATASET-001,AAPL,2025-01-03T16:00:00Z,152.40
DATASET-001,AAPL,2025-01-06T16:00:00Z,151.90
DATASET-001,AAPL,2025-01-07T16:00:00Z,153.10
DATASET-001,AAPL,2025-01-08T16:00:00Z,152.60
DATASET-001,AAPL,2025-01-09T16:00:00Z,154.00
DATASET-001,AAPL,2025-01-10T16:00:00Z,154.80
DATASET-001,AAPL,2025-01-13T16:00:00Z,155.90
DATASET-001,AAPL,2025-01-14T16:00:00Z,154.60
DATASET-001,AAPL,2025-01-15T16:00:00Z,153.80
DATASET-001,AAPL,2025-01-16T16:00:00Z,154.20
DATASET-001,AAPL,2025-01-17T16:00:00Z,155.10
DATASET-001,AAPL,2025-01-21T16:00:00Z,156.30
DATASET-001,AAPL,2025-01-22T16:00:00Z,157.80
DATASET-001,AAPL,2025-01-23T16:00:00Z,158.50
DATASET-001,AAPL,2025-01-24T16:00:00Z,158.00
DATASET-001,AAPL,2025-01-27T16:00:00Z,156.50
DATASET-001,AAPL,2025-01-28T16:00:00Z,155.20
DATASET-001,AAPL,2025-01-29T16:00:00Z,156.00
DATASET-001,AAPL,2025-01-30T16:00:00Z,157.50
DATASET-001,AAPL,2025-01-31T16:00:00Z,158.80
DATASET-001,AAPL,2025-02-03T16:00:00Z,159.60
DATASET-001,AAPL,2025-02-04T16:00:00Z,160.40
DATASET-001,AAPL,2025-02-05T16:00:00Z,161.50
DATASET-001,AAPL,2025-02-06T16:00:00Z,160.80
DATASET-001,AAPL,2025-02-07T16:00:00Z,161.20
DATASET-001,AAPL,2025-02-10T16:00:00Z,162.50
DATASET-001,AAPL,2025-02-11T16:00:00Z,163.80
DATASET-001,AAPL,2025-02-12T16:00:00Z,164.50
DATASET-001,AAPL,2025-02-13T16:00:00Z,163.20
DATASET-001,MSFT,2025-01-02T16:00:00Z,353.10
DATASET-001,MSFT,2025-01-03T16:00:00Z,354.20
DATASET-001,MSFT,2025-01-06T16:00:00Z,353.80
DATASET-001,MSFT,2025-01-07T16:00:00Z,355.50
DATASET-001,MSFT,2025-01-08T16:00:00Z,354.90
DATASET-001,MSFT,2025-01-09T16:00:00Z,356.10
DATASET-001,MSFT,2025-01-10T16:00:00Z,357.50
DATASET-001,MSFT,2025-01-13T16:00:00Z,358.90
DATASET-001,MSFT,2025-01-14T16:00:00Z,357.60
DATASET-001,MSFT,2025-01-15T16:00:00Z,356.80
DATASET-001,MSFT,2025-01-16T16:00:00Z,357.20
DATASET-001,MSFT,2025-01-17T16:00:00Z,358.10
DATASET-001,MSFT,2025-01-21T16:00:00Z,359.30
DATASET-001,MSFT,2025-01-22T16:00:00Z,361.80
DATASET-001,MSFT,2025-01-23T16:00:00Z,362.50
DATASET-001,MSFT,2025-01-24T16:00:00Z,362.00
DATASET-001,MSFT,2025-01-27T16:00:00Z,360.50
DATASET-001,MSFT,2025-01-28T16:00:00Z,359.20
DATASET-001,MSFT,2025-01-29T16:00:00Z,360.00
DATASET-001,MSFT,2025-01-30T16:00:00Z,361.50
DATASET-001,MSFT,2025-01-31T16:00:00Z,362.80
DATASET-001,MSFT,2025-02-03T16:00:00Z,363.60
DATASET-001,MSFT,2025-02-04T16:00:00Z,364.40
DATASET-001,MSFT,2025-02-05T16:00:00Z,365.50
DATASET-001,MSFT,2025-02-06T16:00:00Z,364.80
DATASET-001,MSFT,2025-02-07T16:00:00Z,365.20
DATASET-001,MSFT,2025-02-10T16:00:00Z,366.50
DATASET-001,MSFT,2025-02-11T16:00:00Z,367.80
DATASET-001,MSFT,2025-02-12T16:00:00Z,368.50
DATASET-001,MSFT,2025-02-13T16:00:00Z,367.20
DATASET-001,SPY,2025-01-02T16:00:00Z,451.20
DATASET-001,SPY,2025-01-03T16:00:00Z,452.40
DATASET-001,SPY,2025-01-06T16:00:00Z,451.90
DATASET-001,SPY,2025-01-07T16:00:00Z,453.10
DATASET-001,SPY,2025-01-08T16:00:00Z,452.60
DATASET-001,SPY,2025-01-09T16:00:00Z,454.00
DATASET-001,SPY,2025-01-10T16:00:00Z,454.80
DATASET-001,SPY,2025-01-13T16:00:00Z,455.90
DATASET-001,SPY,2025-01-14T16:00:00Z,454.60
DATASET-001,SPY,2025-01-15T16:00:00Z,453.80
DATASET-001,SPY,2025-01-16T16:00:00Z,454.20
DATASET-001,SPY,2025-01-17T16:00:00Z,455.10
DATASET-001,SPY,2025-01-21T16:00:00Z,456.30
DATASET-001,SPY,2025-01-22T16:00:00Z,457.80
DATASET-001,SPY,2025-01-23T16:00:00Z,458.50
DATASET-001,SPY,2025-01-24T16:00:00Z,458.00
DATASET-001,SPY,2025-01-27T16:00:00Z,456.50
DATASET-001,SPY,2025-01-28T16:00:00Z,455.20
DATASET-001,SPY,2025-01-29T16:00:00Z,456.00
DATASET-001,SPY,2025-01-30T16:00:00Z,457.50
DATASET-001,SPY,2025-01-31T16:00:00Z,458.80
DATASET-001,SPY,2025-02-03T16:00:00Z,459.60
DATASET-001,SPY,2025-02-04T16:00:00Z,460.40
DATASET-001,SPY,2025-02-05T16:00:00Z,461.50
DATASET-001,SPY,2025-02-06T16:00:00Z,460.80
DATASET-001,SPY,2025-02-07T16:00:00Z,461.20
DATASET-001,SPY,2025-02-10T16:00:00Z,462.50
DATASET-001,SPY,2025-02-11T16:00:00Z,463.80
DATASET-001,SPY,2025-02-12T16:00:00Z,464.50
DATASET-001,SPY,2025-02-13T16:00:00Z,463.20
